Loading parameters
checking GPU cards...
njob:  0
No.running Jobs: 0 ...

Initial system energy
-31342.6796875 kJ/mol

MD run: 1000000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
10.0%	       100000	        5000	-33720.305	  279.794	        0	       --
20.0%	       200000	        9999	-33588.930	  268.376	 5.31e+04	     1:05
30.0%	       300000	       14999	-33390.656	  265.333	 5.27e+04	     0:57
40.0%	       400000	       19999	-33570.980	  282.573	 5.24e+04	     0:49
50.0%	       500000	       24999	-33725.086	  272.882	 5.23e+04	     0:41
60.0%	       600000	       29999	-33411.555	  271.376	 5.23e+04	     0:33
70.0%	       700000	       34999	-33662.707	  271.017	 5.22e+04	     0:24
80.0%	       800000	       40000	-33358.047	  275.407	 5.19e+04	     0:16
90.0%	       900000	       45000	-33484.934	  275.238	 5.14e+04	     0:08
100.0%	      1000000	       50000	-33609.465	  277.946	 5.15e+04	     0:00
